campanya,codi_abs,recompte,poblacio,index_socioeconomic,sexe
VRS: Campanya 2023,303,116,67,4,Dona
VRS: Campanya 2023,303,100,61,4,Home
VRS: Campanya 2023,304,128,75,3,Dona
VRS: Campanya 2023,304,138,80,3,Home
VRS: Campanya 2023,305,122,75,2,Home
VRS: Campanya 2023,305,104,63,2,Dona
VRS: Campanya 2023,306,106,60,4,Home
VRS: Campanya 2023,306,112,72,4,Dona
VRS: Campanya 2023,307,186,111,4,Home
VRS: Campanya 2023,307,198,116,4,Dona
VRS: Campanya 2023,309,142,86,3,Home
VRS: Campanya 2023,309,170,103,3,Dona
VRS: Campanya 2023,310,172,98,3,Home
VRS: Campanya 2023,310,146,92,3,Dona
VRS: Campanya 2023,311,110,66,3,Dona
VRS: Campanya 2023,311,118,66,3,Home
VRS: Campanya 2023,312,118,69,4,Dona
VRS: Campanya 2023,312,102,70,4,Home
VRS: Campanya 2023,314,60,39,3,Home
VRS: Campanya 2023,314,82,48,3,Dona
VRS: Campanya 2023,315,164,105,3,Home
VRS: Campanya 2023,315,168,99,3,Dona
VRS: Campanya 2023,316,146,86,3,Home
VRS: Campanya 2023,316,78,52,3,Dona
VRS: Campanya 2023,317,140,86,3,Dona
VRS: Campanya 2023,317,126,74,3,Home
VRS: Campanya 2023,319,102,67,2,Home
VRS: Campanya 2023,319,86,52,2,Dona
