rep,scenario,method,component,interval_type,true,estimate,lower,upper,se,rhat,ess_bulk,divergences,max_treedepth_hits,shift_rmse,speed_rmse,phi_estimate,beta_time_estimate,error
14,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.646000784987733,-0.756333928638417,-0.535667641337048,0.0562924202299412,,,,,,,,,
14,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.544079883964943,-0.842886191108855,-0.245273576821031,0.152452197522404,,,,,,,,,
15,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.319341232500328,-0.66764642346356,0.0289639584629042,0.177706730083282,,,,,,,,,
15,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.405793512089877,-0.521806192436035,-0.28978083174372,0.0591901430337541,,,,,,,,,
15,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.316556888781251,-0.664886461940497,0.0317726843779962,0.177719169979208,,,,,,,,,
16,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.385148143514892,-0.58525212417137,-0.185044162858415,0.102093867681876,,,,,,,,,
16,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.705909464028132,-0.806350006451136,-0.605468921605127,0.0512451747056145,,,,,,,,,
16,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.385613146999728,-0.585730405045377,-0.185495888954078,0.102100641860025,,,,,,,,,
17,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.45659236723784,-0.729930130448088,-0.183254604027591,0.139458042454208,,,,,,,,,
17,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.259329586745933,-0.366399888099056,-0.15225928539281,0.0546277047720015,,,,,,,,,
17,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.453738095956591,-0.727170461642651,-0.180305730270531,0.1395063090235,,,,,,,,,
18,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.612398528086576,-0.941294709005897,-0.283502347167254,0.167804173938429,,,,,,,,,
18,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.69675011608262,-0.820192721327641,-0.573307510837599,0.0629809210433782,,,,,,,,,
18,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.613048863991069,-0.941900887030894,-0.284196840951244,0.167781644408074,,,,,,,,,
19,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.763566695607345,-0.996075901858213,-0.531057489356476,0.118627146046362,,,,,,,,,
19,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.67850054412344,-0.748486353087735,-0.608514735159145,0.0357070453899465,,,,,,,,,
19,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.765894899366808,-0.998175259432055,-0.533614539301561,0.118510387788391,,,,,,,,,
20,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.312559555850324,-0.615615478597032,-0.00950363310361635,0.15462036874832,,,,,,,,,
20,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.644974297516724,-0.755477089426599,-0.534471505606849,0.0563789754642218,,,,,,,,,
20,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.312760694222711,-0.615796301421289,-0.00972508702413283,0.154610003672744,,,,,,,,,
21,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.313866710930013,-0.55055238300365,-0.0771810388563762,0.120757995955937,,,,,,,,,
21,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.506902042880522,-0.576349203268221,-0.437454882492824,0.0354322246876013,,,,,,,,,
21,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.312906969862527,-0.549716678830758,-0.076097260894297,0.120821280085832,,,,,,,,,
22,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.452326695702988,-1.09385757106394,0.189204179657965,0.327311671102527,,,,,,,,,
22,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.57729419146472,-0.694034858524467,-0.460553524404973,0.0595615648264015,,,,,,,,,
22,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.447755898999156,-1.08968910140456,0.194177303406251,0.327516940002759,,,,,,,,,
23,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.776102906116383,-1.28669542471674,-0.265510387516031,0.260506387040996,,,,,,,,,
23,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.655151665725385,-0.729353356719017,-0.580949974731752,0.0378580056089961,,,,,,,,,
23,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.77435511077481,-1.28474349325422,-0.263966728295403,0.260402235958881,,,,,,,,,
24,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.326978075385338,-0.612470114755088,-0.0414860360155893,0.145659203760076,,,,,,,,,
24,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.478034797188033,-0.583310993912409,-0.372758600463657,0.0537123452675388,,,,,,,,,
24,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.32651195443159,-0.612116909683646,-0.0409069991795345,0.14571681390411,,,,,,,,,
25,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.520875904204774,-0.713841829693003,-0.327909978716545,0.0984520028001168,,,,,,,,,
25,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.229609355644353,-0.294340103363247,-0.164878607925459,0.0330258916933131,,,,,,,,,
25,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.51962291257461,-0.712822497854559,-0.326423327294661,0.0985712169795659,,,,,,,,,
26,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.929984504150429,-1.24961434216767,-0.610354666133189,0.16307644796798,,,,,,,,,
26,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.53987933688055,-0.613575145839505,-0.466183527921595,0.0375999025300792,,,,,,,,,
26,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.927403595510549,-1.24701614310069,-0.607791047920403,0.163067626321503,,,,,,,,,
27,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.426821138778533,-0.604126260624388,-0.249516016932677,0.0904617968601304,,,,,,,,,
27,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.524528408980024,-0.590388575727876,-0.458668242232171,0.0336021258917615,,,,,,,,,
27,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.423437066482308,-0.600951835713119,-0.245922297251498,0.090568759811638,,,,,,,,,
28,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.444849755039412,-0.743904157598719,-0.145795352480104,0.152578776815973,,,,,,,,,
