scenario,n_pairs,mean_abs_difference,max_abs_difference,mean_width_short,mean_width_long
aligned,20,0.00343976566487923,0.0133110890114583,0.478672870351825,0.47595360463
phase_and_ascertainment,20,0.00601047192727058,0.0132633512425834,0.5234269963625,0.517860676475
phase_and_confounding,20,0.00247819483156083,0.00646389570208333,0.3267228775125,0.3176189787125
phase_shift,20,0.00552023675041439,0.0171777408077075,0.4924615132125,0.50252740515
